Field=Comment~String~Comment~176|Field=Description~String~Description~115|Field=Designator~String~Designator~115|Field=Footprint~String~Footprint~115|Field=LibRef~String~LibRef~115|Field=Quantity~Integer~Quantity~114|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Ad-Flier.PrjPcb|ReportField=ProjectFullPath~C:\Users\David\Desktop\Ad-Flier\altium\project_files\Ad-Flier.PrjPcb|ReportField=Title~Bill of Materials For Project [Ad-Flier.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~186|ReportField=ReportTime~12:05:42 AM|ReportField=ReportDate~3/25/2012|ReportField=ReportDateTime~3/25/2012 12:05:42 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~3/25/2012|ReportField=CurrentTime~12:05:35 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\David\Desktop\Ad-Flier\altium\project_files\Bottom_Board.SchDoc|ReportField=DocumentName~Bottom_Board.SchDoc|ReportField=DocumentNumber~8|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~3/24/2012|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.12|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=Letter|PrintScaleMode=1|ReportField=ProjectName~Ad-Flier.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~8|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Ad-Flier.PrjPcb|ReportField=DataSourceFullPath~C:\Users\David\Desktop\Ad-Flier\altium\project_files\Ad-Flier.PrjPcb
DC Jack|DC Power Jack|Header10|DC Power Jack|DC Jack|1
Header 5X2|Header, 5-Pin, Dual row|Header12, Header13|HDR2X5|Header 5X2|2
L3G4200D|Three-Axis Digital Output MEMS Gyroscope|IC1|L3G4200DTR|L3G4200D|1
MMA8452Q|3-Axis, 12-bit/8-bit Digital Accelerometer|IC2|MMA8452QT|MMA8452Q|1
S25FL128P|128MB 104-MHz SPI Flash Memory|IC3, IC4|S25FL128P|S25FL128P|2
MPL115A1|Miniature SPI Digital Barometer|IC5|MPL115A1|MPL115A1|1
HMC5883L|3-Axis Digital Compass IC|IC6|HMC5883L-TR|HMC5883L|1
PIC32MX795F512L-80I/PT|High Performance 80 MHz MIPS-Based 32-Bit Flash Microcontroller with USB, CAN and Ethernet, 512KB Program Memory, 100-pin TQFP, Industrial Temperature|IC7|TQFP-PT100_N|PIC32MX795F512L-80I/PT|1
EPCS16SI8N|16MB FPGA CONFIGURATION DEVICE|IC8|EPCS16SI8N SO-8|EPCS16SI8N|1
DS1085|EconOscillator Frequency Synthesizer|IC9|DS1085 SO-150mil|DS1085|1
EP2C8T144C8N|Cyclone II Family, 1.2V FPGA, 85 I/O Pins, 2 PLLs, 144-Pin TQFP, Speed Grade 8, Commercial Grade, Pb-Free|IC_FPGA_A1, IC_FPGA_A2, IC_FPGA_A3, IC_FPGA_A4, IC_FPGA_A5, IC_FPGA_A6, IC_FPGA_A7, IC_FPGA_A8, IC_FPGA_A9|TQFP144_N|EP2C8T144C8N|9
Jumper|Jumper Wire|J1, J2, J3, J4, J5, J6|HDR1X2|Jumper|6
LED PLCC-4|Surface Mount Chip LED|LED1, LED2, LED3, LED4, LED6, LED9, LED11|PLCC-4 LED|HSMF-C157, SMD LED|7
LED Blue Through-Hole|Typical INFRARED GaAs LED|LED5, LED7, LED8, LED10|Blue LED|LED0|4
HC-SR04 Ultrasonic Module|HC-SR04 Ultrasonic Module|Module1, Module8|HC-SR04 Ultrasonic Ranger|HC-SR04 Ultrasonic Module|2
Copernicus II DIP Module||Module2|Copernicus GPS Module|Copernicus II DIP Module|1
MicroSD Socket|MicroSD SPI Interface|Module3|MicroSD Card Slot|MicroSD Socket|1
XBee Pro S1|XBee Pro S1 60mW Wireless Module|Module4|XBee Pro S1 Wireless Module|XBee Pro S1|1
RHT03|Digital Humidity & Temp Sensor|Module5|RHT03 Humidity Sensor|RHT03|1
Mini-USB|Mini-USB|Module6|Mini B USB Connector|Mini USB Connector|1
TCM8230MD|Toshiba 640x480 Camera|Module7|TCM8230MD Camera Module|TCM8230MD|1
4.7K SMD 0805|Resistor|R1, R2, R22, R23, R24|SMD 0805|Res2|5
10K SMD 0805|Resistor|R3, R8, R9, R17, R28|SMD 0805|Res2|5
Value: 10K SMD Resistor Array|4-Count Resistor Array|R4, R5, R13, R25, R26, R27, R29, R30|Resistor Array YC164|SMD Resistor Array|8
1K SMD 0805|Resistor|R6, R7, R10, R21|SMD 0805|Res2|4
2.2K SMD 0805|Resistor|R11, R12|SMD 0805|Res2|2
100 SMD 0805|Resistor|R14, R15, R18|SMD 0805|Res2|3
10 SMD 0805|Resistor|R16|SMD 0805|Res2|1
3.9K Radial|Resistor|R19|RES12.2-8.5X3.3|Res2|1
1.3K Radial|Resistor|R20|RES12.2-8.5X3.3|Res2|1
MIC5330-MFYML|Dual 300mA LDO (Lead Free Compliant)|REG1|MIC5330-MFYML TR|MIC5330-MFYML|1
MIC29300-5.0WU|3.0A LDO Fixed Volt.(ROHS Compliant)|REG2|TO-263 D2PACK|MIC29300-5.0WU|1
MIC49300-1.2WR|Dual Supply, LV 3.0A LDO(ROHS Compliant)|REG3|MIC49300-1.2WR SPACK-5|MIC49300-1.2WR|1
MIC29300-3.3WU|3.0A LDO Fixed Volt.(ROHS Compliant)|REG4|TO-263 D2PACK|MIC29300-3.3WU|1
SW-DIP4|DIP Switch|S1|DIP-8|SW-DIP4|1
SMD Tactile Switch|Single-Pole, Single-Throw Switch, SMD Tactile Switch|S2, S3, S4, S5|SMD Tactile Switch|SMD Tactile Switch, SW-SPST|4
XT9M20ANA8M|8MHz SMD Crystal|X1|XT9M20ANA8M - 8MHz Capacitor|XT9M20ANA8M|1
SSP-T6-7PF-20PPM|32.768KHz 7pF SMD Crystal|X2|32.768KHz Crystal|SSP-T6-7PF-20PPM|1
SE2838CT-ND|OSCILLATOR 25.1750MHZ SMD|X3|SG-636PCE 25.175MHz Crystal|SE2838CT-ND|1
